Tópico,Pergunta,Resposta,Ação,Link
Prazos de Digitalização,Qual é o prazo limite para digitalizar o plano Estapar Mensal?,"O prazo oficial para a digitalização é até o penúltimo dia útil do mês. A digitalização pode ser feita a partir do 1º dia do mês, após o pagamento confirmado.",,
Prazos de Digitalização,Quais são exemplos específicos de prazos limites?,O prazo é até 30 de outubro (para o ciclo de Outubro) e 27 de novembro (para o ciclo de Novembro).,,
Prazos de Digitalização,"Se o motorista perder o prazo oficial, existe alguma tolerância?","O acesso está garantido até o dia 5 do mês seguinte. Em casos excepcionais, operadores podem orientar que a tentativa de digitalização seja feita até o dia 10 do mês seguinte (prazo técnico máximo), mas a data oficial deve ser sempre reforçada.",ação3,link3
Obrigatoriedade,A digitalização do plano é opcional?,"Não. A digitalização é obrigatória, pois o formato antigo do Estapar Mensal (Legado/Retaguarda) será descontinuado.",ação4,link4
Benefícios da Digitalização,Quais as principais vantagens de digitalizar o plano dentro do prazo?,"Garantia da vaga na garagem, manutenção da faixa de preço atual (com possível pequena variação de valor), acesso ao cartão físico + digital no app, mais opções de pagamento (Pix, crédito, débito), e gestão prática pelo app (notas fiscais, troca de veículo, atualização de dados). A contratação e digitalização no app são fáceis, com acesso imediato à garagem pela credencial digital (QR Code).",ação5,link5
Benefícios Adicionais,Quais benefícios exclusivos são acessados através do app Zul+?,"O app Zul+ permite acesso à Zona Azul em mais de 18 cidades, pagamento de IPVA, multas e licenciamento em até 12x, reservas antecipadas em aeroportos e grandes eventos, e melhores cotações de seguro.",ação6,link6
Elegibilidade,Quais são os requisitos para um cliente ser considerado apto à migração?,"O cliente deve ser Pessoa Física (PF), ter apenas 1 vaga no plano, possuir um Plano FULL (exceto planos que iniciam com o prefixo FLEX), e estar em situação regular de pagamento (todos os boletos pagos, incluindo o do mês atual). A garagem também precisa estar habilitada para migração.",,link7
Não Digitalização,O que acontece se o motorista não digitalizar dentro do prazo?,"O motorista não receberá o boleto do próximo mês, o contrato será cancelado, e o cartão físico deixará de funcionar.",ação8,link8
Nova Contratação,O que o motorista deve fazer se perder o prazo de digitalização?,"Será necessário fazer uma nova contratação no app Zul+. Isso só poderá ser feito a partir do 1º dia do mês seguinte, para evitar cobrança em duplicidade.",,link9
Consequências da Nova Contratação,Quais são os riscos e perdas ao fazer uma nova contratação após o prazo?,"A nova contratação está sujeita à disponibilidade de vaga, pode haver reajuste de preço, e o cartão físico não será mantido (perda da credencial física).",,
Cartão Físico,O motorista pode continuar usando o cartão físico para acessar a vaga?,"Sim, se ele digitalizar dentro do prazo. Quem fizer um novo contrato, terá apenas o cartão digital. Reforçar que, para manter a credencial física ativa, a digitalização é obrigatória.",,
Comunicação,Como a Estapar comunicou os motoristas sobre a digitalização?,"Todos os motoristas receberam comunicações por E-mail cadastrado, Notificação no app Zul+, e WhatsApp cadastrado. Além disso, a garagem possui avisos e folhetos no local.",,link12
Pagamento Inicial,Como é feito o pagamento do primeiro mês após a digitalização?,"O mês da digitalização já está pago. A partir do mês seguinte, a cobrança será automática pelo meio de pagamento escolhido: cartão de crédito (recorrente), cartão de débito (recorrente) ou Pix (envio mensal).",,
Divergência de Preço,O que fazer se o motorista encontrar um preço diferente do anterior?,"No processo de digitalização, o valor pode ter uma pequena variação devido à padronização das tabelas e faixas de desconto (variação normal de até 5%). O operador deve encaminhar o caso para o responsável da garagem (Gerente/Supervisor) com acesso ao Portal de Gestão, para que o ajuste de preço seja feito manualmente usando o CPF.",ação14,link14
Suporte ao Cliente (Problemas),"Se o motorista não encontrar a opção de digitalizar no app ou tiver problemas relacionados ao serviço, como deve ser orientado?","O motorista deve ser orientado a verificar os requisitos (PF, 1 vaga, Plano FULL, boletos pagos). Se o erro persistir, deve atualizar o app Zul+ e entrar em contato com o SAC Estapar (www.estapar.com.br/contato), preferencialmente através do Chat no app ou Central de Ajuda no site.",ação15,
Suporte Operacional,Como a operação deve agir em caso de instabilidades ou erros de sistema?,"Recomendar que os mensalistas façam nova tentativa de digitalização. Sempre que identificar um erro, desafio ou problema na digitalização com um mensalista, deve-se abrir um JIRA reportando a situação.",,
Portal Gestão,O que é o Portal Gestão Estapar e quais são suas funções?,"O Portal Gestão oferece autonomia e agilidade para a operação, permitindo o controle da quantidade de vagas, consulta de informações dos clientes e veículos, e gestão de planos e tabelas de desconto. Possui telas para Login, Home, Lista de Garagens, Detalhes do Contrato, Detalhes das Faturas, Entradas e Saídas, Consulta por Placa, Estornos e Migração de Clientes.",,
Portal Gestão,Quem tem acesso ao Portal Gestão?,"Gerente, supervisor e coordenador. É necessário solicitar acesso ao Portal Gestão pelo portal de chamados (Gestão de Acessos >> Acessos adicionais).",ação18,link18
Portal JIRA ITSM,O que é o Portal JIRA ITSM e para que serve?,"É o canal oficial (Portal de Chamados ou Portal de Suporte de TI) para reportar problemas relacionados ao Estapar Mensal (mensalista e mensalista digital). Tipos de problemas incluem mal funcionamento de leitores QR Code/OCR, instabilidade de sistemas, bloqueio de clientes, e mensagens de credencial expirada.",ação19,link19

Plano Digital vs. Atual,O que muda do produto atual (Legado/Retaguarda) para o Digital (Novo)?,"O Legado usava ficha de papel e site, cartão físico e boleto por email. O Digital usa o App Zul+ e novo site, cartão digital + físico, e permite pagamento por cartão de crédito, débito e pix no app. A gestão do plano passa a ser feita diretamente pelo cliente no app.",,

